Minutes Index, Status Register, Accumulated Charge, Voltage, Current
166, 0, 48468, 7.574, -0.652
167, 0, 48449, 7.577, -0.630
168, 0, 48430, 7.569, -0.668
169, 0, 48410, 7.574, -0.641
170, 0, 48391, 7.569, -0.654
171, 0, 48372, 7.572, -0.629
172, 0, 48353, 7.565, -0.669
173, 0, 48334, 7.569, -0.638
174, 0, 48315, 7.567, -0.644
175, 0, 48295, 7.567, -0.639
176, 0, 48276, 7.560, -0.671
177, 0, 48257, 7.566, -0.636
178, 0, 48238, 7.562, -0.649
179, 0, 48219, 7.564, -0.638
180, 0, 48199, 7.557, -0.672
181, 0, 48180, 7.560, -0.649
182, 0, 48161, 7.561, -0.636
183, 0, 48142, 7.559, -0.642
184, 0, 48122, 7.555, -0.664
185, 0, 48103, 7.558, -0.645
186, 0, 48084, 7.558, -0.642
187, 0, 48065, 7.558, -0.639
188, 0, 48046, 7.554, -0.652
189, 0, 48027, 7.557, -0.634
190, 0, 48008, 7.557, -0.629
191, 0, 47989, 7.555, -0.639
192, 0, 47969, 7.550, -0.663
193, 0, 47950, 7.553, -0.645
194, 0, 47931, 7.554, -0.635
195, 0, 47912, 7.551, -0.649
196, 0, 47893, 7.548, -0.663
197, 0, 47873, 7.551, -0.646
198, 0, 47854, 7.552, -0.635
199, 0, 47835, 7.548, -0.666
200, 0, 47816, 7.547, -0.702
201, 0, 47796, 7.549, -0.644
202, 0, 47777, 7.549, -0.642
203, 0, 47758, 7.546, -0.660
204, 0, 47739, 7.546, -0.657
205, 0, 47719, 7.547, -0.645
206, 0, 47700, 7.549, -0.632
207, 0, 47681, 7.545, -0.653
208, 0, 47662, 7.543, -0.659
209, 0, 47643, 7.547, -0.647
210, 0, 47624, 7.548, -0.634
211, 0, 47604, 7.543, -0.662
212, 0, 47585, 7.543, -0.652
213, 0, 47566, 7.544, -0.653
214, 0, 47547, 7.547, -0.635
215, 0, 47528, 7.540, -0.668
216, 0, 47508, 7.542, -0.657
217, 0, 47489, 7.543, -0.650
218, 0, 47470, 7.545, -0.634
219, 0, 47451, 7.540, -0.668
220, 0, 47431, 7.543, -0.644
221, 0, 47412, 7.540, -0.667
222, 0, 47393, 7.545, -0.633
223, 0, 47374, 7.536, -0.680
224, 0, 47354, 7.541, -0.653
225, 0, 47335, 7.539, -0.666
226, 0, 47316, 7.543, -0.641
227, 0, 47297, 7.536, -0.675
228, 0, 47277, 7.541, -0.644
229, 0, 47258, 7.538, -0.661
230, 0, 47239, 7.544, -0.636
231, 0, 47220, 7.537, -0.673
232, 0, 47201, 7.542, -0.642
233, 0, 47182, 7.540, -0.660
234, 0, 47162, 7.543, -0.639
235, 0, 47143, 7.536, -0.671
236, 0, 47124, 7.540, -0.650
237, 0, 47105, 7.539, -0.658
238, 0, 47085, 7.539, -0.653
239, 0, 47066, 7.534, -0.681
240, 0, 47047, 7.539, -0.648
241, 0, 47028, 7.538, -0.660
242, 0, 47008, 7.539, -0.650
243, 0, 46989, 7.532, -0.688
244, 0, 46970, 7.537, -0.666
245, 0, 46950, 7.539, -0.648
246, 0, 46931, 7.537, -0.664
247, 0, 46912, 7.534, -0.673
248, 0, 46892, 7.533, -0.687
249, 0, 46873, 7.538, -0.651
250, 0, 46854, 7.536, -0.667
251, 0, 46835, 7.534, -0.676
252, 0, 46816, 7.536, -0.664
253, 0, 46796, 7.538, -0.648
254, 0, 46777, 7.535, -0.667
255, 0, 46758, 7.535, -0.672
256, 0, 46738, 7.533, -0.664
257, 0, 46719, 7.537, -0.647
258, 0, 46700, 7.534, -0.673
259, 0, 46681, 7.534, -0.668
260, 0, 46661, 7.536, -0.659
261, 0, 46642, 7.539, -0.642
262, 0, 46623, 7.534, -0.673
263, 0, 46603, 7.535, -0.662
264, 0, 46584, 7.535, -0.661
265, 0, 46565, 7.539, -0.644
266, 0, 46545, 7.532, -0.672
267, 0, 46526, 7.532, -0.661
268, 0, 46507, 7.534, -0.668
269, 0, 46487, 7.538, -0.644
270, 0, 46468, 7.532, -0.678
271, 0, 46449, 7.534, -0.661
272, 0, 46429, 7.534, -0.664
273, 0, 46410, 7.537, -0.644
274, 0, 46390, 7.532, -0.676
275, 0, 46371, 7.535, -0.661
276, 0, 46352, 7.534, -0.661
277, 0, 46332, 7.539, -0.635
278, 0, 46313, 7.531, -0.680
279, 0, 46294, 7.535, -0.654
280, 0, 46274, 7.534, -0.661
281, 0, 46255, 7.537, -0.644
282, 0, 46235, 7.532, -0.673
283, 0, 46216, 7.536, -0.656
284, 0, 46197, 7.533, -0.658
285, 0, 46177, 7.537, -0.642
286, 0, 46158, 7.530, -0.675
287, 0, 46139, 7.535, -0.653
288, 0, 46119, 7.533, -0.663
289, 0, 46100, 7.536, -0.644
290, 0, 46080, 7.530, -0.675
291, 0, 46061, 7.534, -0.651
292, 0, 46042, 7.534, -0.655
293, 0, 46022, 7.535, -0.647
294, 0, 46003, 7.530, -0.672
295, 0, 45983, 7.534, -0.652
296, 0, 45964, 7.534, -0.651
297, 0, 45945, 7.535, -0.648
298, 0, 45925, 7.531, -0.667
299, 0, 45906, 7.532, -0.660
300, 0, 45886, 7.531, -0.655
301, 0, 45867, 7.532, -0.649
302, 0, 45848, 7.530, -0.665
303, 0, 45828, 7.532, -0.653
304, 0, 45809, 7.534, -0.645
305, 0, 45789, 7.533, -0.644
306, 0, 45770, 7.531, -0.659
307, 0, 45751, 7.531, -0.658
308, 0, 45731, 7.534, -0.637
309, 0, 45712, 7.533, -0.643
310, 0, 45692, 7.530, -0.663
311, 0, 45673, 7.530, -0.654
312, 0, 45654, 7.534, -0.636
313, 0, 45634, 7.532, -0.648
